Offset-Description                                                                   
0000 - Pointer           3579FE50 : P->00FAE99C        35A2AD90 : P->00FAE99C        
0124 - Pointer           3579FF74 : P->00020002        35A2AEB4 : P->00010001        
0128 - Pointer           3579FF78 : P->35875970        35A2AEB8 : P->289E61A0        
012C - Pointer           3579FF7C : P->00040003        35A2AEBC : P->00040003        
0130 - Pointer to instance of hkBoyancy3579FF80 : P->3590B080        35A2AEC0 : P->293E7240        
0134 - 4 Bytes           3579FF84 : 57                 35A2AEC4 : 1094767946         
0138 - Byte              3579FF88 : 27                 35A2AEC8 : 16                 
0139 - Byte              3579FF89 : 61                 35A2AEC9 : 88                 
013A - Byte              3579FF8A : 40                 35A2AECA : 66                 
013B - Byte              3579FF8B : 37                 35A2AECB : 65                 
013C - Byte              3579FF8C : 27                 35A2AECC : 166                
013D - Byte              3579FF8D : 61                 35A2AECD : 76                 
013E - Byte              3579FF8E : 40                 35A2AECE : 66                 
013F - Byte              3579FF8F : 37                 35A2AECF : 65                 
0140 - Byte              3579FF90 : 27                 35A2AED0 : 23                 
0141 - Byte              3579FF91 : 61                 35A2AED1 : 211                
0142 - Byte              3579FF92 : 40                 35A2AED2 : 72                 
0143 - Byte              3579FF93 : 37                 35A2AED3 : 66                 
0144 - 4 Bytes           3579FF94 : 26                 35A2AED4 : 1112068887         
0148 - Byte              3579FF98 : 166                35A2AED8 : 23                 
0149 - String            3579FF99 : :(%$               35A2AED9 : ÓHBÓ              
014E - Byte              3579FF9E : 0                  35A2AEDE : 72                 
014F - 2 Bytes           3579FF9F : 7680               35A2AEDF : 15170              
0151 - Byte              3579FFA1 : 60                 35A2AEE1 : 154                
0152 - Byte              3579FFA2 : 40                 35A2AEE2 : 96                 
0153 - Byte              3579FFA3 : 37                 35A2AEE3 : 65                 
0154 - 4 Bytes           3579FFA4 : 5                  35A2AEE4 : 1096849979         
0158 - 4 Bytes           3579FFA8 : 11                 35A2AEE8 : 1096849979         
015C - 4 Bytes           3579FFAC : 45                 35A2AEEC : 1096849979         
0160 - 4 Bytes           3579FFB0 : 59                 35A2AEF0 : 1094861688         
0164 - Byte              3579FFB4 : 27                 35A2AEF4 : 120                
0165 - Byte              3579FFB5 : 61                 35A2AEF5 : 67                 
0166 - Byte              3579FFB6 : 40                 35A2AEF6 : 66                 
0167 - Byte              3579FFB7 : 37                 35A2AEF7 : 65                 
0168 - 4 Bytes           3579FFB8 : 7                  35A2AEF8 : 1094861688         
016C - 4 Bytes           3579FFBC : 13                 35A2AEFC : 1094861688         
0170 - 4 Bytes           3579FFC0 : 19                 35A2AF00 : 1087787005         
0174 - 4 Bytes           3579FFC4 : 23                 35A2AF04 : 1087817172         
0178 - 4 Bytes           3579FFC8 : 32                 35A2AF08 : 1087787179         
017C - 4 Bytes           3579FFCC : 5                  35A2AF0C : 1087792614         
0180 - 4 Bytes           3579FFD0 : 15                 35A2AF10 : 3221272503         
0184 - Double            3579FFD4 : -2.18872451782228  35A2AF14 : -2.18274450307021  
018C - 4 Bytes           3579FFDC : 44                 35A2AF1C : 3221334222         
0190 - 4 Bytes           3579FFE0 : 7                  35A2AF20 : 1110799428         
0194 - 4 Bytes           3579FFE4 : 0                  35A2AF24 : 1110804398         
0198 - Byte              3579FFE8 : 177                35A2AF28 : 118                
0199 - Byte              3579FFE9 : 47                 35A2AF29 : 129                
019A - Byte              3579FFEA : 92                 35A2AF2A : 53                 
019B - Byte              3579FFEB : 66                 35A2AF2B : 66                 
019C - Byte              3579FFEC : 150                35A2AF2C : 117                
019D - String            3579FFED : 2\B=               35A2AF2D : …5B                
01A2 - Byte              3579FFF2 : 0                  35A2AF32 : 0                  
01A3 - Byte              3579FFF3 : 0                  35A2AF33 : 0                  
01A4 - 4 Bytes           3579FFF4 : 0                  35A2AF34 : 0                  
01A8 - 4 Bytes           3579FFF8 : 0                  35A2AF38 : 0                  
01AC - Byte              3579FFFC : 27                 35A2AF3C : 0                  
01AD - Byte              3579FFFD : 61                 35A2AF3D : 0                  
01AE - Byte              3579FFFE : 40                 35A2AF3E : 0                  
01AF - Byte              3579FFFF : 37                 35A2AF3F : 0                  
01B0 - 4 Bytes           357A0000 : 0                  35A2AF40 : 0                  
01B4 - 4 Bytes           357A0004 : 4                  35A2AF44 : 0                  
01B8 - 4 Bytes           357A0008 : 29                 35A2AF48 : 0                  
01BC - 4 Bytes           357A000C : 34                 35A2AF4C : 0                  
01C0 - 4 Bytes           357A0010 : 63                 35A2AF50 : 0                  
01C4 - 4 Bytes           357A0014 : 21                 35A2AF54 : 0                  
01C8 - 4 Bytes           357A0018 : 25                 35A2AF58 : 0                  
01CC - 4 Bytes           357A001C : 43                 35A2AF5C : 0                  
01D0 - Byte              357A0020 : 27                 35A2AF60 : 0                  
01D1 - Byte              357A0021 : 61                 35A2AF61 : 0                  
01D2 - Byte              357A0022 : 40                 35A2AF62 : 0                  
01D3 - Byte              357A0023 : 37                 35A2AF63 : 0                  
01D4 - Byte              357A0024 : 27                 35A2AF64 : 0                  
01D5 - Byte              357A0025 : 61                 35A2AF65 : 0                  
01D6 - Byte              357A0026 : 40                 35A2AF66 : 0                  
01D7 - Byte              357A0027 : 37                 35A2AF67 : 0                  
01D8 - 4 Bytes           357A0028 : 0                  35A2AF68 : 0                  
01DC - 4 Bytes           357A002C : 10                 35A2AF6C : 0                  
01E0 - 4 Bytes           357A0030 : 1                  35A2AF70 : 0                  
01E4 - 4 Bytes           357A0034 : 52                 35A2AF74 : 0                  
01E8 - 4 Bytes           357A0038 : 0                  35A2AF78 : 0                  
01EC - 4 Bytes           357A003C : 6                  35A2AF7C : 0                  
01F0 - 4 Bytes           357A0040 : 31                 35A2AF80 : 0                  
01F4 - 4 Bytes           357A0044 : 18                 35A2AF84 : 0                  
01F8 - Byte              357A0048 : 27                 35A2AF88 : 0                  
01F9 - String            357A0049 : =(%*               35A2AF89 :                    
01FE - Byte              357A004E : 0                  35A2AF8E : 0                  
01FF - Byte              357A004F : 0                  35A2AF8F : 0                  
0200 - 4 Bytes           357A0050 : 0                  35A2AF90 : 0                  
0204 - 4 Bytes           357A0054 : 14                 35A2AF94 : 0                  
0208 - 4 Bytes           357A0058 : 54                 35A2AF98 : 0                  
020C - 4 Bytes           357A005C : 20                 35A2AF9C : 0                  
0210 - Byte              357A0060 : 27                 35A2AFA0 : 0                  
0211 - Byte              357A0061 : 61                 35A2AFA1 : 0                  
0212 - Byte              357A0062 : 40                 35A2AFA2 : 0                  
0213 - Byte              357A0063 : 37                 35A2AFA3 : 0                  
0214 - 4 Bytes           357A0064 : 6                  35A2AFA4 : 0                  
0218 - Byte              357A0068 : 27                 35A2AFA8 : 0                  
0219 - Byte              357A0069 : 61                 35A2AFA9 : 0                  
021A - Byte              357A006A : 40                 35A2AFAA : 0                  
021B - Byte              357A006B : 37                 35A2AFAB : 0                  
021C - 4 Bytes           357A006C : 0                  35A2AFAC : 0                  
0220 - 4 Bytes           357A0070 : 0                  35A2AFB0 : 0                  
0224 - 4 Bytes           357A0074 : 56                 35A2AFB4 : 0                  
0228 - 4 Bytes           357A0078 : 0                  35A2AFB8 : 0                  
022C - 4 Bytes           357A007C : 33                 35A2AFBC : 0                  
0230 - 4 Bytes           357A0080 : 0                  35A2AFC0 : 0                  
0234 - 4 Bytes           357A0084 : 41                 35A2AFC4 : 0                  
0238 - Byte              357A0088 : 27                 35A2AFC8 : 0                  
0239 - Byte              357A0089 : 61                 35A2AFC9 : 0                  
023A - Byte              357A008A : 40                 35A2AFCA : 0                  
023B - Byte              357A008B : 37                 35A2AFCB : 0                  
023C - 4 Bytes           357A008C : 28                 35A2AFCC : 0                  
0240 - 4 Bytes           357A0090 : 50                 35A2AFD0 : 0                  
0244 - 4 Bytes           357A0094 : 58                 35A2AFD4 : 0                  
0248 - 4 Bytes           357A0098 : 1                  35A2AFD8 : 0                  
024C - 4 Bytes           357A009C : 24                 35A2AFDC : 0                  
0250 - 4 Bytes           357A00A0 : 0                  35A2AFE0 : 0                  
0254 - Byte              357A00A4 : 27                 35A2AFE4 : 0                  
0255 - Byte              357A00A5 : 61                 35A2AFE5 : 0                  
0256 - Byte              357A00A6 : 40                 35A2AFE6 : 0                  
0257 - Byte              357A00A7 : 37                 35A2AFE7 : 0                  
0258 - 4 Bytes           357A00A8 : 0                  35A2AFE8 : 0                  
025C - 4 Bytes           357A00AC : 0                  35A2AFEC : 0                  
0260 - 4 Bytes           357A00B0 : 9                  35A2AFF0 : 0                  
0264 - 4 Bytes           357A00B4 : 11                 35A2AFF4 : 0                  
0268 - Byte              357A00B8 : 27                 35A2AFF8 : 0                  
0269 - String            357A00B9 : =(%(               35A2AFF9 :                    
026E - Byte              357A00BE : 0                  35A2AFFE : 0                  
026F - 2 Bytes           357A00BF : 7680               35A2AFFF : 0                  
0271 - Byte              357A00C1 : 0                  35A2B001 : 0                  
0272 - Byte              357A00C2 : 0                  35A2B002 : 0                  
0273 - Byte              357A00C3 : 0                  35A2B003 : 0                  
0274 - 4 Bytes           357A00C4 : 49                 35A2B004 : 0                  
0278 - 4 Bytes           357A00C8 : 2                  35A2B008 : 0                  
027C - 4 Bytes           357A00CC : 17                 35A2B00C : 0                  
0280 - 4 Bytes           357A00D0 : 3                  35A2B010 : 0                  
0284 - Pointer           357A00D4 : P->0118D410        35A2B014 : P->00000000        
0288 - Byte              357A00D8 : 27                 35A2B018 : 0                  
0289 - Byte              357A00D9 : 61                 35A2B019 : 0                  
028A - Byte              357A00DA : 40                 35A2B01A : 0                  
028B - Byte              357A00DB : 37                 35A2B01B : 0                  
028C - Byte              357A00DC : 27                 35A2B01C : 0                  
028D - Byte              357A00DD : 61                 35A2B01D : 0                  
028E - Byte              357A00DE : 40                 35A2B01E : 0                  
028F - Byte              357A00DF : 37                 35A2B01F : 0                  
0290 - 4 Bytes           357A00E0 : 19                 35A2B020 : 0                  
0294 - 4 Bytes           357A00E4 : 23                 35A2B024 : 0                  
0298 - 4 Bytes           357A00E8 : 0                  35A2B028 : 0                  
029C - 4 Bytes           357A00EC : 22                 35A2B02C : 0                  
02A0 - 4 Bytes           357A00F0 : 0                  35A2B030 : 0                  
02A4 - 4 Bytes           357A00F4 : 39                 35A2B034 : 0                  
02A8 - Byte              357A00F8 : 27                 35A2B038 : 0                  
02A9 - String            357A00F9 : =(%0               35A2B039 :                    
02AE - Byte              357A00FE : 0                  35A2B03E : 0                  
02AF - Byte              357A00FF : 0                  35A2B03F : 0                  
02B0 - Byte              357A0100 : 208                35A2B040 : 0                  
02B1 - Byte              357A0101 : 57                 35A2B041 : 0                  
02B2 - Byte              357A0102 : 40                 35A2B042 : 0                  
02B3 - Byte              357A0103 : 37                 35A2B043 : 0                  
02B4 - 4 Bytes           357A0104 : 31                 35A2B044 : 0                  
02B8 - Byte              357A0108 : 27                 35A2B048 : 0                  
02B9 - Byte              357A0109 : 61                 35A2B049 : 0                  
02BA - Byte              357A010A : 40                 35A2B04A : 0                  
02BB - Byte              357A010B : 37                 35A2B04B : 0                  
02BC - 4 Bytes           357A010C : 4                  35A2B04C : 0                  
02C0 - 4 Bytes           357A0110 : 27                 35A2B050 : 0                  
02C4 - 4 Bytes           357A0114 : 0                  35A2B054 : 0                  
02C8 - 4 Bytes           357A0118 : 18                 35A2B058 : 0                  
02CC - Byte              357A011C : 27                 35A2B05C : 0                  
02CD - Byte              357A011D : 61                 35A2B05D : 0                  
02CE - Byte              357A011E : 40                 35A2B05E : 0                  
02CF - Byte              357A011F : 37                 35A2B05F : 0                  
02D0 - Byte              357A0120 : 27                 35A2B060 : 0                  
02D1 - Byte              357A0121 : 61                 35A2B061 : 0                  
02D2 - Byte              357A0122 : 40                 35A2B062 : 0                  
02D3 - Byte              357A0123 : 37                 35A2B063 : 0                  
02D4 - 4 Bytes           357A0124 : 12                 35A2B064 : 0                  
02D8 - 4 Bytes           357A0128 : 51                 35A2B068 : 0                  
02DC - 4 Bytes           357A012C : 38                 35A2B06C : 0                  
02E0 - 4 Bytes           357A0130 : 2                  35A2B070 : 0                  
02E4 - 4 Bytes           357A0134 : 8                  35A2B074 : 0                  
02E8 - 4 Bytes           357A0138 : 33                 35A2B078 : 0                  
02EC - 4 Bytes           357A013C : 20                 35A2B07C : 0                  
02F0 - 4 Bytes           357A0140 : 47                 35A2B080 : 0                  
02F4 - 4 Bytes           357A0144 : 53                 35A2B084 : 0                  
02F8 - 4 Bytes           357A0148 : 0                  35A2B088 : 0                  
02FC - 4 Bytes           357A014C : 16                 35A2B08C : 0                  
0300 - 4 Bytes           357A0150 : 0                  35A2B090 : 0                  
0304 - Byte              357A0154 : 27                 35A2B094 : 0                  
0305 - String            357A0155 : =(%<               35A2B095 :                    
030A - Byte              357A015A : 0                  35A2B09A : 0                  
030B - Byte              357A015B : 0                  35A2B09B : 0                  
030C - 4 Bytes           357A015C : 0                  35A2B09C : 0                  
0310 - Byte              357A0160 : 27                 35A2B0A0 : 0                  
0311 - String            357A0161 : =(%%               35A2B0A1 :                    
0316 - Byte              357A0166 : 0                  35A2B0A6 : 0                  
0317 - 2 Bytes           357A0167 : 14080              35A2B0A7 : 0                  
0319 - Byte              357A0169 : 0                  35A2B0A9 : 0                  
031A - Byte              357A016A : 0                  35A2B0AA : 0                  
031B - Byte              357A016B : 0                  35A2B0AB : 0                  
031C - 4 Bytes           357A016C : 46                 35A2B0AC : 0                  
0320 - 4 Bytes           357A0170 : 62                 35A2B0B0 : 0                  
0324 - 4 Bytes           357A0174 : 29                 35A2B0B4 : 0                  
0328 - 4 Bytes           357A0178 : 0                  35A2B0B8 : 0                  
032C - 4 Bytes           357A017C : 0                  35A2B0BC : 0                  
